회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]자산(*)(IFRS연결),[제조]      유형자산(*)(IFRS),[제조]      유형자산(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS),[제조]매출액(수익)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS),[제조]   비유동자산(*)(IFRS연결),[제조]   유동자산(*)(IFRS),[제조]   유동자산(*)(IFRS연결),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS연결)
럭슬(주),033600,2017/12,54619376,,40684587,,25472189,,47805747,,6813629,,16789657,
럭슬(주),033600,2018/12,66144514,,38322075,,19919734,,43079660,,23064854,,14282786,
에스앤씨엔진그룹리미티드,900080,2011/12,,258321295,,94319166,,203649948,,151856933,,106464362,,241459436
에스앤씨엔진그룹리미티드,900080,2012/12,,308772424,,105784588,,197943485,,151507762,,157264662,,268497817
에스앤씨엔진그룹리미티드,900080,2013/12,,346300672,,103021231,,198746239,,148237167,,198063505,,297676757
에스앤씨엔진그룹리미티드,900080,2014/12,,355414237,,99932188,,174705683,,172962221,,182452016,,326038935
에스앤씨엔진그룹리미티드,900080,2015/12,,416663801,,104523699,,197373205,,177988766,,238675035,,373992600
에스앤씨엔진그룹리미티드,900080,2016/12,,417722476,,127341450,,167627453,,165473106,,252249370,,398081060
에스앤씨엔진그룹리미티드,900080,2017/12,,418994982,,166072686,,157262451,,200978160,,218016821,,407542118
에스앤씨엔진그룹리미티드,900080,2018/12,,459588445,,159782241,,127170366,,195111123,,264477322,,435118280
에스앤씨엔진그룹리미티드,900080,2019/12,,456216730,,216496839,,107613521,,218777571,,237439158,,439818052
에이아이비트(주),039230,2011/12,112247269,,56209485,,83895475,,80727911,,31519358,,51482766,
에이아이비트(주),039230,2012/12,80523141,85730891,43753452,46487947,43427893,54394607,65005144,68200811,15517997,17530080,41041592,34790740
에이아이비트(주),039230,2013/12,84306935,90445468,43658296,46549930,34572902,48297014,64283818,67665748,20023118,22779720,40739156,35245561
에이아이비트(주),039230,2014/12,88596503,96573443,43137096,46057875,54304404,70642309,63102248,66502509,25494255,30070933,38049903,35749876
에이아이비트(주),039230,2015/12,95080415,105441925,42443150,46383800,50546923,66779053,62436413,66904916,32644002,38537009,36916323,36579167
에이아이비트(주),039230,2016/12,39033456,38865597,793054,793054,35270804,35270804,4197842,3969352,34835615,34896246,14605557,14387651
에이아이비트(주),039230,2017/12,53312193,53605630,280533,816674,22119812,53876718,8181158,5130273,45131036,48475357,17493427,17494988
에이아이비트(주),039230,2018/12,71898940,74611679,263674,828567,12540252,37768386,18975285,11443894,52923656,63167785,29560499,28659366
에이아이비트(주),039230,2019/12,58338101,68044383,8711375,9107932,8310047,37400538,26139567,16850810,32198534,51193573,48817294,50452338
에이아이비트(주),039230,2020/12,54707705,58111687,8845219,9020312,5560142,29211630,31426439,22298015,23281266,35813673,44371717,45254415
