[제조]유동자산구성비율,[제조]순운전자본비율,[제조]매입채무회전기간,[제조]총자본증가율,[제조]매출채권회전률,[제조]매출액순이익률,[제조]노동소득분배율,[제조]자기자본순이익률,[제조]재고자산증가율,year,label
71.82,58.28,59.9,-18.84,3.73,-47.02,195.26,-21.21,119.53,2017,0
72.14,59.27,26.55,-9.22,7.75,-14.81,116.83,-9.19,-55.89,2018,0
56.56,-9.22,43.63,7.19,5.87,-7.12,136.55,-38.72,9.03,2011,0
54.13,-2.19,36.31,-5.27,9.62,-6.98,132.68,-22.84,-3.59,2012,0
47.94,13.67,19.37,6.6,9.18,7.47,78.57,15.46,-6.48,2014,0
42.62,18.05,19.2,87.35,9.71,-4.37,106.68,-5.88,-2.4,2015,0
33.59,11.78,20.4,14.57,8.03,-12.03,131.19,-9.81,28.42,2016,0
39.77,21.0,16.54,-2.33,8.62,-1.69,83.36,-1.25,-16.54,2017,0
41.86,24.32,15.5,2.79,9.58,8.37,55.88,5.41,-32.19,2018,0
32.08,7.93,27.16,-2.12,6.62,-0.83,46.95,-1.63,20.7,2011,0
28.88,2.05,23.89,5.98,6.36,4.12,39.67,7.56,11.79,2012,0
34.42,-3.86,20.29,16.63,8.54,-12.58,67.93,-24.11,26.95,2013,0
29.86,-2.75,24.13,-7.7,7.59,-5.85,53.22,-7.49,-6.73,2015,0
33.54,-8.85,24.24,-16.09,7.48,7.06,37.09,15.21,-37.47,2016,0
33.8,-0.67,17.61,3.19,8.99,1.38,43.58,5.05,-4.08,2017,0
34.04,-5.35,18.17,-8.48,8.41,8.4,34.6,17.13,-16.15,2018,0
67.12,56.38,34.27,13.3,3.9,13.93,46.0,11.06,-41.13,2011,0
62.84,54.85,38.31,5.66,3.26,14.28,50.72,8.61,35.6,2012,0
65.57,54.42,24.39,9.26,3.75,4.74,71.63,3.07,6.12,2014,0
60.6,52.17,19.03,-1.78,3.32,1.93,76.97,1.28,-14.68,2015,0
61.56,54.62,6.93,1.31,3.84,1.84,80.15,1.3,-28.08,2016,0
71.08,51.26,32.8,9.55,4.05,11.24,38.63,13.46,18.62,2011,0
69.69,57.45,44.34,-7.65,4.4,11.4,48.62,10.15,47.57,2012,0
72.87,61.94,35.78,7.7,4.29,12.92,45.64,11.23,-21.09,2013,0
75.66,65.38,34.97,9.44,3.71,15.6,43.73,11.53,8.59,2014,0
74.03,67.38,41.1,-0.82,5.09,8.41,65.26,4.6,-3.15,2015,0
90.39,81.09,8.29,187.78,12.1,23.09,19.27,28.64,-6.95,2016,0
83.0,80.02,12.33,-3.84,4.99,15.51,30.56,7.46,-21.08,2017,0
87.55,71.83,30.38,19.81,3.76,20.82,41.87,5.93,230.6,2018,0
70.16,61.71,15.46,61.81,11.69,24.97,33.36,23.01,147.88,2011,0
68.4,55.02,37.52,28.92,6.11,18.86,37.85,16.95,0.0,2012,0
59.82,50.57,25.98,19.03,8.2,15.25,45.32,13.92,-72.09,2013,0
55.11,41.92,26.72,9.26,6.75,11.96,50.6,10.6,-11.47,2014,0
49.59,35.87,42.82,4.26,4.04,11.4,54.16,7.26,127.54,2015,0
66.48,53.81,45.98,113.72,4.53,8.98,57.48,4.94,102.0,2016,0
63.26,42.4,38.06,40.52,6.23,-4.54,97.95,-2.85,182.55,2017,0
69.2,49.98,25.29,27.79,7.86,-8.01,114.82,-10.14,36.6,2018,0
84.78,57.24,8.04,52.63,10.97,4.93,38.74,2.37,0.0,2014,0
83.72,54.82,8.63,11.76,9.83,1.11,144.97,1.06,0.0,2015,0
65.6,41.66,12.32,15.01,6.57,2.84,57.23,3.29,0.0,2016,0
59.44,23.54,32.44,11.25,3.33,-7.89,169.98,-5.98,0.0,2017,0
52.54,11.1,25.54,0.02,6.29,-9.16,201.02,-11.29,202.65,2018,0
75.33,60.0,0.0,-31.57,12.99,-53.32,138.91,-52.21,0.0,2018,0
11.19,5.08,0.0,130.32,9.05,41.16,22.58,42.78,0.0,2017,0
60.17,35.69,49.32,48.08,7.68,8.53,57.74,14.51,51.29,2018,0
83.63,79.69,9.1,80.29,26.52,26.53,27.39,22.05,0.0,2018,0
60.89,34.16,36.84,41.26,6.22,11.17,44.26,33.13,216.12,2013,0
33.29,9.99,58.11,-19.54,4.34,-6.08,78.08,-8.09,-17.06,2014,0
37.54,-1.27,46.97,55.35,4.72,-17.24,215.1,-17.89,32.67,2015,0
25.53,-11.05,29.85,-4.76,4.9,-43.25,0.0,-41.36,3.86,2017,0
21.25,-33.95,33.56,-6.73,5.86,-64.15,0.0,-82.58,-7.95,2018,0
76.43,39.45,53.21,21.28,3.48,4.57,54.3,15.57,42.45,2014,0
68.88,23.29,51.7,39.37,3.2,0.68,75.64,2.53,0.0,2015,0
65.07,23.29,52.45,-12.4,3.35,-2.97,99.0,-6.79,-24.61,2016,0
67.53,22.72,45.68,-3.21,4.14,-2.38,90.99,-8.08,-3.45,2017,0
70.13,36.14,55.19,3.91,3.69,-13.01,214.95,-54.1,-10.58,2018,0
62.49,26.16,28.17,-8.73,0.93,2.78,81.88,9.11,-21.31,2011,0
61.86,6.56,24.34,-7.12,23.52,-17.02,140.82,-60.97,-53.06,2012,0
55.36,24.79,94.51,73.17,3.39,-99.17,0.0,-52.08,644.97,2014,0
34.21,29.12,54.87,-47.32,1.71,-284.59,0.0,-100.95,-52.9,2016,0
56.58,0.52,15.16,187.78,3.89,1.94,43.03,1.46,644.97,2017,0
63.93,17.65,19.09,5.03,4.2,5.52,55.17,12.14,-58.12,2011,0
62.48,30.5,28.56,-0.55,4.11,-2.57,108.7,-4.17,10.11,2012,0
62.88,14.24,25.5,-5.57,4.43,-8.18,211.1,-11.97,-48.13,2013,0
50.05,12.13,22.01,8.69,5.31,6.89,62.93,12.94,-17.16,2016,0
