[제조]총자본증가율,[제조]자기자본증가율,[제조]매출채권회전률,[제조]순운전자본비율,[제조]자기자본배율,[제조]비유동비율,[제조]유동자산구성비율,[제조]자기자본구성비율,[제조]자본분배율,year,label
3.77,16.35,5.87,17.96,2649.36,78.28,43.67,71.96,68.06,2017,0
62.84,106.48,3.8,62.25,2186.08,30.99,72.39,89.12,74.62,2017,0
28.05,23.96,4.16,63.3,2709.76,27.26,76.49,86.27,68.93,2018,0
42.48,30.88,12.87,16.5,2476.55,90.34,40.03,66.38,41.11,2018,0
23.36,18.46,1.81,46.0,2201.64,48.0,60.14,83.04,47.14,2018,0
-17.45,-19.43,4.61,10.78,2685.76,85.25,55.48,52.23,-168.28,2015,0
28.57,52.22,8.72,26.88,2782.76,66.59,57.11,64.41,53.45,2017,0
19.15,15.56,3.47,45.33,2057.2,64.6,62.83,57.54,40.39,2018,0
12.65,12.92,9.18,81.09,2532.09,7.43,92.89,94.19,78.4,2011,0
23.37,57.11,14.59,6.64,2082.67,94.03,40.93,62.82,29.85,2016,0
14.94,16.47,9.27,11.61,2181.98,93.42,39.93,64.3,46.65,2018,0
64.19,23.55,18.19,15.09,2365.05,105.32,52.91,44.71,56.98,2018,0
104.33,163.51,5.69,38.91,2362.74,61.84,45.31,88.45,-0.49,2014,0
24.53,24.6,2.74,20.19,2781.43,78.47,30.55,88.51,19.53,2015,0
166.33,181.37,1.58,44.47,2830.47,61.56,47.36,85.51,0.0,2018,0
54.88,85.09,6.34,56.64,2153.25,32.38,75.08,76.96,59.63,2018,0
2.17,13.91,16.97,43.15,2128.86,52.22,54.04,88.01,54.96,2012,0
-0.25,11.93,4.1,30.24,2086.43,54.04,70.68,54.24,43.67,2011,0
-12.39,0.6,3.26,33.39,2098.94,56.2,65.33,61.69,20.71,2012,0
32.86,14.1,5.57,33.13,2394.87,51.44,72.72,53.03,44.57,2013,0
10.38,16.45,6.04,29.13,2788.75,67.35,62.0,56.43,44.31,2014,0
-29.47,21.42,3.06,-9.74,2169.71,128.1,52.91,36.76,71.05,2011,0
-12.44,14.5,2.64,-6.05,2484.24,114.69,44.87,48.06,62.66,2012,0
64.46,108.75,13.19,18.34,2099.24,82.06,28.72,86.86,72.26,2013,0
29.2,12.29,3.64,41.94,990.38,51.15,58.02,82.07,20.04,2018,0
10.03,14.03,4.82,57.39,2099.78,34.51,71.07,83.83,83.3,2016,0
5.9,7.93,4.7,59.91,2266.26,31.92,72.86,85.02,81.13,2017,0
8.25,11.15,4.65,58.61,2518.97,36.41,68.17,87.41,78.13,2018,0
20.62,-0.87,4.66,-6.67,2703.65,145.64,33.91,45.38,26.65,2016,0
-7.58,-4.37,4.78,-11.48,2375.32,146.84,30.21,47.53,43.95,2017,0
-4.63,-3.01,4.22,-4.95,2303.71,150.08,34.87,43.4,35.17,2018,0
17.77,18.32,9.29,46.77,2138.35,50.24,54.17,91.23,51.03,2013,0
31.83,27.86,6.47,75.2,2464.54,16.59,85.46,87.66,71.93,2011,0
14.96,11.05,7.94,51.6,2182.38,44.35,59.51,91.31,52.24,2016,0
8.35,6.49,6.52,51.35,2324.11,43.62,60.75,89.99,64.42,2017,0
18.21,20.17,6.9,52.77,2792.79,43.64,60.16,91.29,70.76,2018,0
16.96,4.66,5.37,16.51,2445.11,85.07,54.56,53.41,39.6,2011,0
10.4,-3.71,5.18,11.59,2354.38,97.92,54.38,46.59,24.44,2012,0
-20.98,6.14,7.42,6.71,2831.43,91.4,43.43,61.89,41.66,2015,0
-8.96,-11.21,5.33,7.26,2513.94,89.94,45.58,60.5,14.64,2016,0
-22.8,-16.75,8.06,14.55,2092.78,85.74,44.13,65.16,0.0,2017,0
36.54,22.83,7.48,17.64,2099.8,99.42,26.99,73.43,58.43,2017,0
11.4,1.68,4.98,0.07,2237.65,117.73,30.2,59.29,58.4,2011,0
8.58,4.12,7.05,2.42,2300.46,114.32,35.0,56.85,52.74,2012,0
11.69,5.08,5.87,21.92,2174.89,88.75,57.02,48.43,48.21,2011,0
19.52,24.77,7.2,4.05,2209.06,124.61,46.56,42.89,64.23,2013,0
5.51,12.89,7.05,44.94,2223.82,53.05,54.2,86.34,67.52,2015,0
17.35,11.86,7.15,48.31,2487.62,45.31,62.71,82.3,66.99,2016,0
1.75,6.04,7.98,51.32,2637.89,42.77,63.31,85.77,58.59,2017,0
92.21,34.89,9.28,30.9,2144.36,116.13,50.26,42.83,51.57,2018,0
108.55,10.14,7.26,13.72,2340.35,112.22,38.87,54.48,29.72,2018,0
2.17,14.01,3.46,50.16,2171.9,43.01,64.77,81.92,67.85,2011,0
3.76,11.21,3.64,56.27,2389.16,38.23,66.44,87.8,57.96,2012,0
5.0,6.94,5.15,59.56,2534.19,35.83,67.96,89.42,55.94,2013,0
-0.86,0.38,4.75,58.85,2543.78,37.19,66.33,90.54,33.11,2014,0
29.11,28.89,5.55,67.04,2732.3,27.17,75.44,90.39,61.0,2015,0
0.22,10.96,9.65,33.81,2052.58,60.06,51.13,81.37,0.0,2011,0
22.55,-2.2,7.63,16.71,2007.38,89.57,37.21,70.09,0.0,2012,0
26.78,5.86,6.52,16.51,2124.98,102.82,43.18,55.26,55.98,2013,0
20.42,9.2,7.81,12.5,2070.49,81.06,55.77,54.56,46.84,2018,0
1.29,6.86,7.87,21.15,2520.66,76.52,42.67,74.92,52.39,2011,0
8.33,6.35,8.43,21.18,2680.61,75.65,44.44,73.45,53.8,2012,0
-0.28,12.03,19.19,59.18,2149.22,33.65,70.44,87.85,68.83,2018,0
19.32,1.18,2.25,37.86,662.31,47.9,71.99,58.48,53.71,2011,0
