[제조]자기자본구성비율,[제조]순운전자본회전률,[제조]비유동자산회전률,[제조]총자본증가율,[제조]유동비율,[제조]비유동자산증가율,[제조]1주당매출액,[제조]총자본순이익률,[제조]부가가치율,year,label
67.73,0.75,1.6,-11.93,240.14,-3.85,2591.8,4.85,15.8,2012,0
86.82,0.79,0.75,19.83,401.02,60.0,2631.6,9.38,55.28,2012,0
62.39,1.23,14.14,37.46,729.83,70.43,11431.54,4.36,12.54,2013,0
82.11,1.51,3.48,18.61,486.18,-2.34,11390.82,22.61,30.73,2014,0
69.58,0.75,1.2,30.05,600.46,63.17,2415.78,-4.82,26.54,2011,0
93.85,1.59,2.72,-5.1,948.34,-2.05,1247.28,5.18,85.72,2012,0
60.42,1.02,4.93,10.86,203.35,10.57,19029.75,-0.61,5.33,2018,0
46.72,1.1,1.87,4.03,98.75,5.51,17846.92,3.73,23.23,2014,0
45.77,1.05,1.88,9.86,100.23,7.13,17613.65,4.49,23.95,2015,0
44.82,1.05,1.78,6.03,104.93,12.89,18314.35,3.14,27.09,2016,0
46.2,1.97,3.95,27.35,122.92,27.43,6716.97,-4.28,6.3,2012,0
84.58,1.07,2.3,-3.04,575.42,-58.53,2332.6,4.8,18.3,2014,0
57.56,0.96,3.13,6.01,187.13,43.15,6780.98,2.42,9.32,2011,0
44.27,0.82,1.44,-19.01,107.36,8.51,6714.75,-1.92,7.87,2015,0
93.9,1.34,1.64,15.52,1109.91,6.55,6300.1,13.01,59.14,2013,0
94.12,1.37,1.95,9.65,1309.78,-10.03,8637.81,9.06,53.56,2015,0
82.21,1.05,2.08,15.96,702.59,7.62,6363.82,8.57,23.37,2011,0
52.08,0.77,0.64,-12.27,777.58,-17.49,2225.63,-23.92,-26.97,2018,0
60.5,1.06,1.57,-8.96,118.95,-12.42,18911.76,-4.25,23.37,2016,0
65.16,1.2,1.74,-22.8,149.16,-20.74,17556.34,-10.26,-1.78,2017,0
20.41,1.03,2.92,13.61,83.91,3.79,18168.43,16.97,35.57,2012,0
31.52,0.99,3.12,28.19,106.23,12.14,18401.73,-12.85,12.72,2018,0
47.49,0.38,1.44,2.56,181.25,5.15,6785.76,2.58,20.64,2018,0
79.22,0.72,3.21,20.14,477.55,5.11,6817.07,7.37,27.43,2017,0
26.7,0.79,1.05,8.88,72.88,15.29,6856.55,-0.6,22.56,2017,0
61.16,1.48,8.27,-23.63,199.68,1.15,18077.64,6.33,11.85,2015,0
80.7,0.86,1.23,7.7,339.96,14.35,6854.47,7.42,31.4,2014,0
42.83,1.25,1.97,92.21,259.58,115.58,18982.04,17.12,61.53,2018,0
28.4,1.78,2.63,103.75,71.68,32.65,18889.62,0.86,9.09,2012,0
35.13,1.01,2.05,1.95,81.76,4.25,17887.31,-3.33,14.92,2016,0
