,회사명,거래소코드,회계년도,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
158,(주)국보디자인,66620,2016/12,4.569649905,7.255662967,,-13.32238222,20.44177584,4.347104349,12.30607731,-0.277812603
159,(주)국보디자인,66620,2017/12,34.38179005,1.16758334,,-2.423621419,5.150524602,14.21275182,3.741960879,24.23884594
160,(주)국보디자인,66620,2018/12,-6.05876991,-5.331331805,,13.69394787,4.952954469,9.383816454,6.481906458,3.98728425
161,(주)국보디자인,66620,2019/12,5.799634457,17.79851057,,-15.2773714,36.86259213,13.59427851,27.12469626,14.92177974
162,(주)국보디자인,66620,2020/12,7.11248623,-0.804160422,,493.8740426,-46.23379911,34.58088187,20.99330122,26.07158923
163,(주)국순당,43650,2010/12,-59.41760801,10000,10000,10000,10000,10000,10000,10000
164,(주)국순당,43650,2011/12,9.195427453,-1.59762048,-0.868848807,10.27916313,-13.26986302,0.590482822,-0.860204777,-66.03550503
165,(주)국순당,43650,2012/12,-7.039458995,-2.611725711,-0.900828766,4.797104325,6.061190751,7.58582124,5.320206322,24.68750723
166,(주)국순당,43650,2013/12,-16.44874355,-3.421450448,0.269340112,-3.890680764,15.0400687,1.535257048,3.998323956,-15.98677247
167,(주)국순당,43650,2014/12,-7.370839143,-9.584094411,-5.250349095,0.526208319,-1.247237771,1.152767975,-0.291305667,-39.31259298
168,(주)국순당,43650,2015/12,-15.69770766,-3.968266939,-3.020908696,0.997157433,-2.085207003,0.689285221,-0.410112038,10000
169,(주)국순당,43650,2016/12,-9.996830706,-6.169078778,0.13664019,7.017906431,-12.30199961,-2.093502047,-1.654338279,-28.59583648
170,(주)국순당,43650,2017/12,-9.956820583,-10.5635669,-4.136446218,21.76544808,1.631351947,14.184519,13.70622622,10000
171,(주)국순당,43650,2018/12,-2.015836654,14.99075804,4.306965548,6.534920409,-15.86253473,-2.644828376,-1.478226929,10000
172,(주)국순당,43650,2019/12,66.01998417,17.89874178,7.582955641,4.789586681,8.130712891,-4.970917112,5.810419688,88.24512074
173,(주)국순당,43650,2020/12,-48.13945228,-34.64883828,-24.57749635,-1.179846336,-7.043396135,8.559642194,-3.010655075,10000
174,(주)국영지앤엠,6050,2010/12,-20.78413445,10000,10000,10000,10000,10000,10000,10000
175,(주)국영지앤엠,6050,2011/12,1.49510186,94.65603031,-22.83668926,50.65070006,10.05848037,-6.399654228,30.70215319,10000
176,(주)국영지앤엠,6050,2012/12,2.846486555,2.407600323,6.034288842,9.16324762,-16.2473394,40.40955604,-1.352110151,10000
177,(주)국영지앤엠,6050,2013/12,27.42747392,-0.979938195,-0.398474591,-2.559381376,18.48638955,0.837858492,4.834712041,-80.27211926
178,(주)국영지앤엠,6050,2014/12,-7.703796563,2.09892467,13.53300536,-4.38612325,-9.750611151,1.932299614,-6.51628079,-58.51093736
179,(주)국영지앤엠,6050,2015/12,-22.10874277,-2.509735426,-25.91759628,-1.60786194,23.44629949,3.665590057,7.996568431,10000
180,(주)국영지앤엠,6050,2016/12,28.29612268,0.56226489,205.0243466,0.839209668,5.935607924,3.237536989,3.072388612,10000
181,(주)국영지앤엠,6050,2017/12,22.16453235,-0.025253109,-21.26580021,0.028327723,1.419633007,4.061674383,0.654912452,271.3652034
182,(주)국영지앤엠,6050,2018/12,-10.43590146,-3.960272255,-17.34353239,-2.517905252,-16.19168542,-1.640772983,-8.722808771,10000
183,(주)국영지앤엠,6050,2019/12,29.68303498,1.794156617,-2.083859355,3.95628793,27.5658921,2.083436235,13.79322941,10000
184,(주)국영지앤엠,6050,2020/12,-11.8161926,0.150440352,-33.2579845,2.956608955,0.900156179,-3.433673786,1.996084845,10000
185,(주)국전약품,307750,2018/12,-99.98446869,10000,10000,10000,10000,10000,10000,10000
186,(주)국전약품,307750,2019/12,0,10000,10000,10000,10000,10000,10000,10000
187,(주)국전약품,307750,2020/12,806130.76,10000,10000,10000,10000,10000,10000,10000
188,(주)그래디언트,35080,2010/12,456.9065524,10000,10000,10000,10000,10000,10000,10000
189,(주)그래디언트,35080,2011/12,-4.548657607,27.58194523,21.85207395,356.5870007,-35.21591099,-9.665144231,44.27907091,52.25826344
