[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
36.62,0.95,30.49,97.46,3.45,-7.93,0.3,0.41,31.25,2017,0
52.87,1.46,29.31,100.06,6.66,-2.42,3.52,10.33,27.77,2016,0
85.74,1.74,20.51,35.0,7.04,61.04,5.83,14.91,31.61,2014,0
65.5,0.67,9.27,39.39,12.3,46.48,12.42,14.65,57.64,2015,0
56.77,1.02,8.36,38.95,12.98,62.52,4.38,7.73,52.97,2016,0
52.64,0.96,11.46,35.06,10.71,31.33,3.4,5.71,46.27,2017,0
39.15,0.85,14.04,32.24,9.46,30.84,5.58,5.07,44.15,2018,0
90.02,0.93,24.87,31.58,3.6,42.85,9.58,13.27,43.03,2011,0
73.14,0.9,19.82,40.78,4.6,-1.3,11.34,12.85,46.03,2015,0
52.51,0.99,49.04,107.75,4.96,-0.7,4.0,8.05,50.08,2012,0
36.98,1.57,24.03,16.81,11.23,69.14,14.68,12.67,71.43,2013,0
46.37,0.8,31.28,29.73,9.28,29.24,3.14,3.14,16.37,2013,0
52.92,0.83,45.23,112.45,4.36,0.44,3.38,-3.05,42.83,2011,0
59.71,1.06,40.6,114.27,5.56,5.24,5.11,0.36,52.14,2012,0
52.62,0.94,56.41,124.1,4.49,23.19,-1.04,-1.36,13.96,2016,0
24.78,1.07,0.0,21.46,10.55,24.01,2.5,1.44,31.3,2013,0
49.22,0.44,66.51,32.37,2.41,63.04,6.61,4.05,38.93,2015,0
60.63,0.34,0.0,8.6,13.75,103.03,22.61,6.29,42.96,2011,0
72.62,0.62,0.0,8.07,12.91,112.4,19.47,11.12,58.43,2017,0
32.26,1.01,30.14,111.88,5.0,4.24,7.75,15.98,35.47,2012,0
53.7,0.78,20.61,34.27,3.86,20.45,12.17,10.04,39.09,2015,0
69.44,1.08,36.41,24.52,4.45,40.05,17.72,21.3,50.67,2013,0
71.91,0.85,63.47,27.61,3.13,2.01,9.24,9.01,36.57,2014,0
70.44,0.72,64.08,26.97,2.93,14.84,15.79,13.32,47.52,2015,0
55.16,0.79,34.19,41.85,4.96,115.46,10.72,8.87,33.76,2017,0
53.69,1.44,18.78,21.17,5.19,26.83,11.2,14.15,57.97,2015,0
63.6,0.86,30.59,48.99,2.84,-0.97,9.89,11.14,52.2,2018,0
51.8,1.24,37.11,36.63,6.77,17.11,9.38,11.82,37.71,2017,0
38.07,1.5,51.53,107.62,8.83,13.75,5.21,12.13,50.03,2011,0
77.86,1.0,29.59,39.21,6.91,23.04,7.43,11.04,38.04,2016,0
67.94,0.6,29.72,17.39,7.96,34.78,21.67,12.89,54.79,2011,0
54.36,0.64,30.17,17.79,8.05,59.15,19.98,11.27,55.31,2012,0
43.71,1.08,19.05,17.69,8.29,39.9,18.05,13.98,51.8,2013,0
48.06,0.96,38.62,25.36,4.44,10.01,17.71,12.67,53.85,2014,0
64.12,0.9,40.83,27.2,5.44,-20.38,18.18,15.39,59.61,2015,0
62.02,0.58,15.23,13.56,14.79,50.43,19.33,5.12,62.07,2018,0
74.2,0.45,59.53,10.26,5.31,21.45,19.08,9.36,49.07,2014,0
59.09,0.66,32.44,14.99,5.46,87.46,21.04,12.52,59.95,2017,0
71.39,0.9,33.84,14.17,2.58,68.79,7.49,6.91,17.04,2011,0
44.37,0.88,16.89,21.03,3.35,48.8,2.38,2.23,25.76,2014,0
75.02,1.61,53.15,46.69,5.29,-10.9,6.13,17.91,50.59,2015,0
53.79,1.1,41.36,106.0,5.27,1.53,-0.41,0.22,19.22,2011,0
79.21,0.92,39.8,23.84,5.04,101.39,6.45,6.77,46.95,2013,0
46.75,1.33,33.52,37.6,8.43,25.17,3.05,3.98,30.1,2017,0
58.4,1.21,24.97,21.32,4.19,15.68,10.64,12.7,64.1,2017,0
53.73,1.14,31.01,101.32,8.05,3.95,1.13,1.98,22.49,2017,0
66.01,0.5,39.2,16.09,2.02,54.22,0.56,0.25,15.02,2012,0
42.16,1.4,0.95,5.74,8.21,106.44,19.62,17.04,46.07,2018,0
55.67,1.62,29.32,30.91,6.04,-1.09,7.78,11.18,50.98,2013,0
51.31,0.87,6.84,20.7,4.48,89.27,27.92,19.24,65.12,2011,0
47.7,0.53,11.28,17.21,3.27,57.74,13.16,5.79,40.98,2015,0
70.02,1.02,48.9,106.51,3.49,14.43,-2.81,-6.32,5.88,2011,0
48.6,0.74,52.25,21.83,2.99,-0.89,18.9,10.54,53.92,2015,0
58.45,0.59,32.94,13.14,4.14,1.29,17.64,8.91,69.18,2018,0
20.95,2.59,0.92,39.63,16.51,8.2,4.09,5.65,36.25,2018,0
30.55,0.56,0.18,12.99,2.74,58.12,-4.39,-1.26,19.53,2015,0
38.43,0.55,9.21,4.21,4.33,119.43,18.24,6.14,63.78,2015,0
42.99,0.32,5.61,5.39,4.41,63.66,11.67,2.23,37.18,2017,0
57.3,2.81,15.4,26.68,15.22,89.97,9.99,34.66,69.21,2011,0
46.12,1.49,25.4,36.88,10.62,23.27,3.08,3.61,37.72,2014,0
48.61,1.48,48.56,35.75,3.87,-0.78,8.64,14.27,45.72,2011,0
50.78,1.37,19.48,29.13,13.21,-3.33,11.58,13.43,63.1,2016,0
62.99,0.91,28.75,97.79,2.09,-2.7,0.49,0.93,41.08,2011,0
37.92,0.79,3.51,15.18,15.95,60.0,22.69,10.38,60.57,2012,0
49.44,0.94,20.94,21.83,22.99,11.31,16.38,10.78,59.81,2016,0
40.88,0.71,16.48,26.2,18.68,29.78,14.37,7.32,54.02,2017,0
17.3,2.62,12.67,52.61,13.15,6.65,1.31,1.87,26.57,2015,0
28.72,1.6,13.94,15.13,13.19,105.17,26.37,25.55,72.26,2013,0
62.89,1.1,3.7,20.01,9.18,89.07,1.98,2.09,13.85,2018,0
